Date,TotalValue
2022-03-16,97503.69219815556
2022-03-17,97971.16281771485
2022-03-18,98660.60171568219
2022-03-21,98159.42472350423
2022-03-22,97929.07488560502
2022-03-23,98040.32392871205
2022-03-24,97832.06707632367
2022-03-25,97861.1535248739
2022-03-28,97615.0472028238
2022-03-29,97721.28426408592
2022-03-30,98589.46971964661
2022-03-31,99115.30157238521
2022-04-01,99115.30157238521
2022-04-04,99115.30157238521
2022-04-05,99115.30157238521
2022-04-06,99115.30157238521
2022-04-07,99115.30157238521
2022-04-08,99115.30157238521
2022-04-11,99115.30157238521
2022-04-12,99115.30157238521
2022-04-13,99115.30157238521
2022-04-14,99115.30157238521
2022-04-15,99115.30157238521
2022-04-18,99115.30157238521
2022-04-19,99115.30157238521
2022-04-20,99115.30157238521
2022-04-21,99115.30157238521
2022-04-22,99115.30157238521
2022-04-25,99115.30157238521
2022-04-26,99115.30157238521
2022-04-27,99115.30157238521
2022-04-28,99016.28530893878
2022-04-29,98538.88712678509
2022-05-02,98836.85561035232
2022-05-03,98584.44627867297
2022-05-04,98767.13020239427
2022-05-05,99648.42133710935
2022-05-06,98872.27186809138
2022-05-09,98801.46171842173
2022-05-10,99116.71897194938
2022-05-11,98808.74178908423
2022-05-12,98616.57476256446
2022-05-13,97369.83750007705
2022-05-16,97567.31640611247
2022-05-17,97926.84677754
2022-05-18,98948.40508018092
2022-05-19,98243.74791799144
2022-05-20,99240.44662449912
2022-05-23,99154.43890796261
2022-05-24,100107.04619639853
2022-05-25,100107.04619639853
2022-05-26,100107.04619639853
2022-05-27,100107.04619639853
2022-05-30,100107.04619639853
2022-05-31,100107.04619639853
2022-06-01,100107.04619639853
2022-06-02,100107.04619639853
2022-06-03,100107.04619639853
2022-06-06,100107.04619639853
2022-06-07,100107.04619639853
2022-06-08,100107.04619639853
2022-06-09,100107.04619639853
2022-06-10,100107.04619639853
2022-06-13,100107.04619639853
2022-06-14,100007.0399496911
2022-06-15,100251.36497954109
2022-06-16,100401.2680290101
2022-06-17,101271.69240215997
2022-06-20,100739.38548306207
2022-06-21,101021.31218651513
2022-06-22,101135.15883663873
2022-06-23,101437.51749972085
2022-06-24,101014.93649939279
2022-06-27,101456.80481175164
2022-06-28,101598.51218441705
2022-06-29,101047.8794572709
2022-06-30,100308.96364668588
2022-07-01,100607.45340088586
2022-07-04,100187.56232241372
2022-07-05,100180.2480242608
2022-07-06,98494.9719188569
2022-07-07,97810.71303108911
2022-07-08,97651.56122902613
2022-07-11,97615.82533100824
2022-07-12,96477.12990025262
2022-07-13,96338.70766619424
2022-07-14,96334.8387573121
2022-07-15,96267.23587015847
2022-07-18,96945.64560869912
2022-07-19,97414.79087332467
2022-07-20,98242.02769259195
2022-07-21,97775.85851172189
2022-07-22,98143.62233856897
2022-07-25,97943.41202715614
2022-07-26,98180.75470665673
2022-07-27,97264.8076985238
2022-07-28,98030.40524462442
2022-07-29,97867.53333786706
2022-08-01,98020.38957813958
2022-08-02,98530.34152964334
2022-08-03,97515.70300558786
2022-08-04,97534.50956562738
2022-08-05,98400.09207943658
2022-08-08,97661.49677017907
2022-08-09,97918.43581656198
2022-08-10,98019.39373472909
2022-08-11,98908.91082981805
2022-08-12,98962.91192679385
2022-08-15,98962.91192679385
2022-08-16,98962.91192679385
2022-08-17,98962.91192679385
2022-08-18,98962.91192679385
2022-08-19,98864.04805478721
2022-08-22,98328.31098398834
2022-08-23,97390.06444081932
2022-08-24,97658.94917831093
2022-08-25,97680.36534539133
2022-08-26,97701.79903319746
2022-08-29,97382.32612028986
2022-08-30,98120.53853783279
2022-08-31,98228.74653992325
2022-09-01,98365.81701752811
2022-09-02,97516.0793404904
2022-09-05,97095.72208884628
2022-09-06,97515.10986033351
2022-09-07,96983.27407112984
2022-09-08,97941.0620637265
2022-09-09,98100.90364453464
2022-09-12,98682.83702883392
2022-09-13,99252.62270996242
2022-09-14,97807.12779602676
2022-09-15,97826.65172472864
2022-09-16,97868.66642502217
2022-09-19,98202.16175875335
2022-09-20,98273.08565649658
2022-09-21,97696.92243120342
2022-09-22,96324.47142282396
2022-09-23,96430.64118048816
2022-09-26,94944.94788149267
2022-09-27,94296.19628951221
2022-09-28,94026.54064008863
2022-09-29,95123.75856802134
2022-09-30,96313.1121523109
2022-10-03,95951.87566951185
2022-10-04,96337.73461219938
2022-10-05,97829.58352616697
2022-10-06,97111.11696651846
2022-10-07,95916.18011096388
2022-10-10,95386.75050142677
2022-10-11,95142.23125317962
2022-10-12,95045.32995942503
2022-10-13,95121.91889182001
2022-10-14,95546.73224804073
2022-10-17,95429.48939171701
2022-10-18,96478.12234720857
2022-10-19,96649.4166424003
2022-10-20,95695.10359373956
2022-10-21,95816.76751318843
2022-10-24,96612.2551831332
2022-10-25,96871.10054478317
2022-10-26,97627.8031682101
2022-10-27,98785.12616767877
2022-10-28,98785.12616767877
2022-10-31,98785.12616767877
2022-11-01,98785.12616767877
2022-11-02,98785.12616767877
2022-11-03,98785.12616767877
2022-11-04,98785.12616767877
2022-11-07,98785.12616767877
2022-11-08,98785.12616767877
2022-11-09,98785.12616767877
2022-11-10,98785.12616767877
2022-11-11,98785.12616767877
2022-11-14,98785.12616767877
2022-11-15,98785.12616767877
2022-11-16,98785.12616767877
2022-11-17,98785.12616767877
2022-11-18,98785.12616767877
2022-11-21,98785.12616767877
2022-11-22,98785.12616767877
2022-11-23,98785.12616767877
2022-11-24,98785.12616767877
2022-11-25,98785.12616767877
2022-11-28,98785.12616767877
2022-11-29,98785.12616767877
2022-11-30,98785.12616767877
2022-12-01,98785.12616767877
2022-12-02,98785.12616767877
2022-12-05,98785.12616767877
2022-12-06,98785.12616767877
2022-12-07,98785.12616767877
2022-12-08,98785.12616767877
2022-12-09,98785.12616767877
2022-12-12,98785.12616767877
2022-12-13,98785.12616767877
2022-12-14,98785.12616767877
2022-12-15,98785.12616767877
2022-12-16,98785.12616767877
2022-12-19,98785.12616767877
2022-12-20,98785.12616767877
2022-12-21,98785.12616767877
2022-12-22,98785.12616767877
2022-12-23,98785.12616767877
2022-12-26,98785.12616767877
2022-12-27,98785.12616767877
2022-12-28,98785.12616767877
2022-12-29,98785.12616767877
2022-12-30,98785.12616767877
2023-01-02,98785.12616767877
2023-01-03,98785.12616767877
2023-01-04,98785.12616767877
2023-01-05,98785.12616767877
2023-01-06,98785.12616767877
2023-01-09,98785.12616767877
2023-01-10,98785.12616767877
2023-01-11,98785.12616767877
2023-01-12,98785.12616767877
2023-01-13,98785.12616767877
2023-01-16,98785.12616767877
2023-01-17,98785.12616767877
2023-01-18,98785.12616767877
2023-01-19,98785.12616767877
2023-01-20,98785.12616767877
2023-01-23,98785.12616767877
2023-01-24,98785.12616767877
2023-01-25,98785.12616767877
2023-01-26,98785.12616767877
2023-01-27,98785.12616767877
2023-01-30,98785.12616767877
2023-01-31,98785.12616767877
2023-02-01,98785.12616767877
2023-02-02,98785.12616767877
2023-02-03,98785.12616767877
2023-02-06,98785.12616767877
2023-02-07,98785.12616767877
2023-02-08,98785.12616767877
2023-02-09,98785.12616767877
2023-02-10,98785.12616767877
2023-02-13,98785.12616767877
2023-02-14,98785.12616767877
2023-02-15,98785.12616767877
2023-02-16,98785.12616767877
2023-02-17,98785.12616767877
2023-02-20,98785.12616767877
2023-02-21,98785.12616767877
2023-02-22,98785.12616767877
2023-02-23,98785.12616767877
2023-02-24,98785.12616767877
2023-02-27,98785.12616767877
2023-02-28,98785.12616767877
2023-03-01,98785.12616767877
2023-03-02,98785.12616767877
2023-03-03,98785.12616767877
2023-03-06,98785.12616767877
2023-03-07,98785.12616767877
2023-03-08,98785.12616767877
2023-03-09,98785.12616767877
2023-03-10,98785.12616767877
2023-03-13,98785.12616767877
2023-03-14,98785.12616767877
2023-03-15,98785.12616767877
2023-03-16,98785.12616767877
2023-03-17,98785.12616767877
2023-03-20,98785.12616767877
2023-03-21,98785.12616767877
2023-03-22,98785.12616767877
2023-03-23,98785.12616767877
2023-03-24,98785.12616767877
